Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
9.577148e+000	1.716856e+001
9.591230e+000	1.717324e+001
9.603261e+000	1.718125e+001
9.614335e+000	1.718926e+001
9.626914e+000	1.719004e+001
9.641953e+000	1.720195e+001
9.654531e+000	1.720273e+001
9.664511e+000	1.721270e+001
9.679687e+000	1.721914e+001
9.690898e+000	1.722227e+001
9.702109e+000	1.722715e+001
9.717558e+000	1.723242e+001
9.729179e+000	1.723691e+001
9.740937e+000	1.724453e+001
9.758027e+000	1.725234e+001
9.767050e+000	1.725820e+001
9.778945e+000	1.726367e+001
9.793164e+000	1.727402e+001
9.808613e+000	1.727266e+001
9.819960e+000	1.728066e+001
9.831171e+000	1.728594e+001
9.843613e+000	1.728769e+001
9.856191e+000	1.729570e+001
9.864804e+000	1.730547e+001
9.882441e+000	1.730684e+001
9.890371e+000	1.731445e+001
9.903632e+000	1.732422e+001
9.915664e+000	1.733223e+001
9.931523e+000	1.733613e+001
9.942187e+000	1.733887e+001
9.957500e+000	1.735039e+001
9.967480e+000	1.735645e+001
9.979921e+000	1.736348e+001
9.996875e+000	1.737148e+001
1.000713e+001	1.737773e+001
1.002504e+001	1.737930e+001
1.003707e+001	1.738457e+001
1.004951e+001	1.738984e+001
1.006223e+001	1.739277e+001
1.007508e+001	1.739863e+001
1.009080e+001	1.740312e+001
1.010201e+001	1.740781e+001
1.011391e+001	1.741621e+001
1.012662e+001	1.742109e+001
1.013715e+001	1.742598e+001
1.014863e+001	1.743340e+001
1.016354e+001	1.744297e+001
1.017871e+001	1.745020e+001
1.018719e+001	1.745371e+001
1.020346e+001	1.746113e+001
1.021480e+001	1.745996e+001
1.022916e+001	1.747012e+001
1.024379e+001	1.747266e+001
1.025418e+001	1.748164e+001
1.026389e+001	1.748730e+001
1.027811e+001	1.748887e+001
1.029055e+001	1.750254e+001
1.030271e+001	1.750781e+001
1.031652e+001	1.751270e+001
1.033061e+001	1.751621e+001
1.034441e+001	1.752051e+001
1.035768e+001	1.752520e+001
1.036711e+001	1.752852e+001
1.037996e+001	1.753242e+001
1.039254e+001	1.754004e+001
1.040525e+001	1.755371e+001
1.041756e+001	1.755898e+001
1.043150e+001	1.756074e+001
1.044558e+001	1.757109e+001
1.045680e+001	1.757402e+001
1.046773e+001	1.757754e+001
1.048127e+001	1.758359e+001
1.049781e+001	1.758984e+001
1.050998e+001	1.760019e+001
1.052201e+001	1.760215e+001
1.053336e+001	1.760879e+001
1.054908e+001	1.761269e+001
1.055947e+001	1.761172e+001
1.057246e+001	1.762109e+001
1.058189e+001	1.763008e+001
1.059420e+001	1.763379e+001
1.060814e+001	1.763984e+001
